verse	position	greek	strong	transliteration	gloss	inflected
1:1	1	Βίβλος	G976	Biblos	[This is the] record	[This is the] record
1:1	2	γενέσεως	G1078	geneseōs	of [the] genealogy	of [the] genealogy
1:1	3	Ἰησοῦ	G2424	Iēsou	of Jesus	of Jesus
1:1	4	Χριστοῦ	G5547	Christou	Christ	Christ
1:1	5	υἱοῦ	G5207	huiou	[the] son	[the] son
1:1	6	Δαυὶδ	G1138	Dauid	of David	of David
1:1	7	υἱοῦ	G5207	huiou	[the] son	[the] son
1:1	8	Ἀβραάμ	G11	Abraam	of Abraham	of Abraham
1:2	1	Ἀβραὰμ	G11	Abraam	Abraham	Abraham
1:2	2	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:2	3	τὸν	G3588	ton	-	-
1:2	4	Ἰσαάκ	G2464	Isaak	Isaac	Isaac
1:2	5	δὲ	G1161	de	-	-
1:2	6	Ἰσαὰκ	G2464	Isaak	Isaac	Isaac
1:2	7	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:2	8	τὸν	G3588	ton	-	-
1:2	9	Ἰακώβ	G2384	Iakōb	Jacob	Jacob
1:2	10	δὲ	G1161	de	and	and
1:2	11	Ἰακὼβ	G2384	Iakōb	Jacob	Jacob
1:2	12	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:2	13	τὸν	G3588	ton	-	-
1:2	14	Ἰούδαν	G2455	Ioudan	Judah	Judah
1:2	15	καὶ	G2532	kai	and	and
1:2	16	τοὺς	G3588	tous	-	-
1:2	17	αὐτοῦ	G846	autou	his	his
1:2	18	ἀδελφοὺς	G80	adelphous	brothers	brothers
1:3	1	Ἰούδας	G2455	Ioudas	Judah	Judah
1:3	2	δὲ	G1161	de	-	-
1:3	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:3	4	τὸν	G3588	ton	-	-
1:3	5	Φαρὲς	G5329	Phares	Perez	Perez
1:3	6	καὶ	G2532	kai	and	and
1:3	7	τὸν	G3588	ton	-	-
